mi|Xelaev18034993m.g|	 Xelaev18034993m.g
mi|Xelaev18026660m.g|	 fbxo30.L
mi|Xelaev18034273m.g|	 kcnk18.L
mi|Xelaev18011384m.g|	 abcg1.L
mi|Xelaev18037522m.g|	 mmp23b.S
mi|Xelaev18002426m.g|	 Xelaev18002426m.g
mi|Xelaev18038249m.g|	 Xelaev18038249m.g
mi|Xelaev18003139m.g|	 loc101730644.1.L
mi|Xelaev18024753m.g|	 MGC147117.S
mi|Xelaev18016831m.g|	 Xelaev18016831m.g
mi|Xelaev18033298m.g|	 Xelaev18033298m.g
mi|Xelaev18047536m.g|	 c16orf62.S
mi|Xelaev18027275m.g|	 gja10.L
mi|Xelaev18047020m.g|	 speg.S
mi|Xelaev18040542m.g|	 Xelaev18040542m.g
mi|Xelaev18016660m.g|	 Xelaev18016660m.g
mi|Xelaev18019960m.g|	 Xelaev18019960m.g
mi|Xelaev18003589m.g|	 ctu2.L
mi|Xelaev18039148m.g|	 tap2.L
mi|Xelaev18045464m.g|	 eci1.L
mi|Xelaev18037906m.g|	 Xelaev18037906m.g
mi|Xelaev18006957m.g|	 Xelaev18006957m.g
mi|Xelaev18036259m.g|	 loc100488281.L
mi|Xelaev18008972m.g|	 zcchc4.S
mi|Xelaev18016576m.g|	 Xelaev18016576m.g
mi|Xelaev18032674m.g|	 loc105945411.S
mi|Xelaev18001497m.g|	 Xelaev18001497m.g
mi|Xelaev18004611m.g|	 Xelaev18004611m.g
mi|Xelaev18009384m.g|	 ndnf.S
mi|Xelaev18014760m.g|	 Xelaev18014760m.g
mi|Xelaev18026809m.g|	 synj2.L
mi|Xelaev18030700m.g|	 Xelaev18030700m.g
mi|Xelaev18024006m.g|	 otol1.L
mi|Xelaev18043238m.g|	 ywhab.L
mi|Xelaev18004877m.g|	 Xelaev18004877m.g
mi|Xelaev18008534m.g|	 Xetrov90029011m.L
mi|Xelaev18038417m.g|	 zbtb26.L
mi|Xelaev18034257m.g|	 trub1.L
mi|Xelaev18032152m.g|	 car1_predicted.L
mi|Xelaev18046893m.g|	 Xelaev18046893m.g
mi|Xelaev18035400m.g|	 dpagt1.L
mi|Xelaev18009911m.g|	 Xelaev18009911m.g
mi|Xelaev18026275m.g|	 cnih4.L
mi|Xelaev18047759m.g|	 Xelaev18047759m.g
mi|Xelaev18010389m.g|	 tmem119.S
mi|Xelaev18024124m.g|	 Xelaev18024124m.g
mi|Xelaev18004496m.g|	 Xetrov90022724m.1
mi|Xelaev18030556m.g|	 Xelaev18030556m.g
mi|Xelaev18032714m.g|	 Xetrov90028039m.S
mi|Xelaev18035196m.g|	 Xelaev18035196m.g
mi|Xelaev18041886m.g|	 loc101730771-like.S
mi|Xelaev18026638m.g|	 mrps5.L
mi|Xelaev18000707m.g|	 Xelaev18000707m.g
mi|Xelaev18004283m.g|	 Xelaev18004283m.g
mi|Xelaev18039122m.g|	 slc39a7.L
mi|Xelaev18025807m.g|	 bap1.S
mi|Xelaev18027993m.g|	 Xelaev18027993m.g
mi|Xelaev18003086m.g|	 src.L
